Ville,Nombre d'habitants,Type d'agglomeration
Lormont,22913,Ville Moyenne
Loos,22896,Ville Moyenne
Abbeville,22895,Ville Moyenne
Vélizy-Villacoublay,22836,Ville Moyenne
Saint-Louis,22835,Ville Moyenne
Couëron,22680,Ville Moyenne
Roissy-en-Brie,22643,Ville Moyenne
Auch,22518,Ville Moyenne
Olivet,22503,Ville Moyenne
Torcy,22500,Ville Moyenne
Tassin-la-Demi-Lune,22475,Ville Moyenne
Épernay,22362,Ville Moyenne
Dammarie-les-Lys,22318,Ville Moyenne
Oyonnax,22271,Ville Moyenne
Le Moule,22230,Ville Moyenne
La Madeleine,22214,Ville Moyenne
Montigny-lès-Cormeilles,22186,Ville Moyenne
Hérouville-Saint-Clair,22150,Ville Moyenne
Sainte-Foy-lès-Lyon,22077,Ville Moyenne
Deuil-la-Barre,22050,Ville Moyenne
Gujan-Mestras,22036,Ville Moyenne
Le Petit-Quevilly,21997,Ville Moyenne
Saint-Mandé,21991,Ville Moyenne
Bruay-la-Buissière,21953,Ville Moyenne
Challans,21900,Ville Moyenne
Les Pennes-Mirabeau,21897,Ville Moyenne
Montereau-Fault-Yonne,21888,Ville Moyenne
Arcueil,21840,Ville Moyenne
Montigny-lès-Metz,21788,Ville Moyenne
Mandelieu-la-Napoule,21772,Ville Moyenne
Chaumont,21770,Ville Moyenne
Villeneuve-sur-Lot,21690,Ville Moyenne
Montmorency,21688,Ville Moyenne
Achères,21660,Ville Moyenne
Combs-la-Ville,21657,Ville Moyenne
Le Robert,21627,Ville Moyenne
Nogent-sur-Oise,21589,Ville Moyenne
Mons-en-Barœul,21564,Ville Moyenne
Allauch,21546,Ville Moyenne
Forbach,21509,Ville Moyenne
Gardanne,21501,Ville Moyenne
Millau,21482,Ville Moyenne
Hazebrouck,21464,Ville Moyenne
Gif-sur-Yvette,21439,Ville Moyenne
Villeneuve-le-Roi,21411,Ville Moyenne
Saint-Jean-de-Braye,21396,Ville Moyenne
Saint-Michel-sur-Orge,21298,Ville Moyenne
Chemillé-en-Anjou,21187,Ville Moyenne
Lagny-sur-Marne,21139,Ville Moyenne
Longjumeau,21105,Ville Moyenne
Fleury-les-Aubrais,21104,Ville Moyenne
Le Creusot,21057,Ville Moyenne
Dax,21044,Ville Moyenne
Wasquehal,20980,Ville Moyenne
Bourg-la-Reine,20974,Ville Moyenne
Saint-Genis-Laval,20971,Ville Moyenne
Neuilly-Plaisance,20934,Ville Moyenne
Saint-Gratien,20914,Ville Moyenne
Mantes-la-Ville,20844,Ville Moyenne
Halluin,20812,Ville Moyenne
Ozoir-la-Ferrière,20712,Ville Moyenne
Coudekerque-Branche,20708,Ville Moyenne
Le Mée-sur-Seine,20677,Ville Moyenne
Givors,20672,Ville Moyenne
Grande-Synthe,20635,Ville Moyenne
Mitry-Mory,20620,Ville Moyenne
Saint-Cyr-l'École,20611,Ville Moyenne
Montaigu-Vendée,20578,Ville Moyenne
Croix,20574,Ville Moyenne
Sarreguemines,20555,Ville Moyenne
Chaville,20524,Ville Moyenne
Fougères,20505,Ville Moyenne
Pertuis,20498,Ville Moyenne
La Celle-Saint-Cloud,20496,Ville Moyenne
Carquefou,20463,Ville Moyenne
Lannion,20451,Ville Moyenne
Bouguenais,20450,Ville Moyenne
Denain,20415,Ville Moyenne
Chevilly-Larue,20372,Ville Moyenne
Sceaux,20359,Ville Moyenne
Cournon-d'Auvergne,20356,Ville Moyenne
Voiron,20332,Ville Moyenne
Concarneau,20209,Ville Moyenne
Mougins,20180,Ville Moyenne
Cahors,20159,Ville Moyenne
Morsang-sur-Orge,20149,Ville Moyenne
Beaune,20122,Ville Moyenne
Cugnaux,20100,Ville Moyenne
L'Isle-sur-la-Sorgue,20029,Ville Moyenne
La Chapelle-sur-Erdre,19981,Petite Ville
Chilly-Mazarin,19943,Petite Ville
Bruges,19863,Petite Ville
Bressuire,19862,Petite Ville
Albertville,19830,Petite Ville
Bourg-lès-Valence,19814,Petite Ville
Lingolsheim,19797,Petite Ville
Lisieux,19755,Petite Ville
Mont-Saint-Aignan,19686,Petite Ville
Le Plessis-Trévise,19651,Petite Ville
Saint-Fons,19500,Petite Ville
Saint-Dié-des-Vosges,19490,Petite Ville
Schœlcher,19467,Petite Ville
Plaisance-du-Touch,19462,Petite Ville
Moulins,19444,Petite Ville
Vence,19315,Petite Ville
Sélestat,19279,Petite Ville
Saint-Lô,19206,Petite Ville
Brie-Comte-Robert,19161,Petite Ville
Joinville-le-Pont,19128,Petite Ville
Bruz,19090,Petite Ville
Macouria,19087,Petite Ville
La Crau,19052,Petite Ville
Le Puy-en-Velay,18947,Petite Ville
Ronchin,18933,Petite Ville
Sorgues,18930,Petite Ville
Villefontaine,18891,Petite Ville
Gentilly,18813,Petite Ville
Écully,18789,Petite Ville
Riom,18733,Petite Ville
Royan,18638,Petite Ville
Louviers,18636,Petite Ville
Cognac,18606,Petite Ville
Vitré,18603,Petite Ville
Ploemeur,18537,Petite Ville
Hem,18462,Petite Ville
Bonneuil-sur-Marne,18424,Petite Ville
Éragny,18317,Petite Ville
Meylan,18221,Petite Ville
Romorantin-Lanthenay,18206,Petite Ville
Faches-Thumesnil,18160,Petite Ville
Mauges-sur-Loire,18083,Petite Ville
Bagnols-sur-Cèze,18072,Petite Ville
Soisy-sous-Montmorency,18061,Petite Ville
Fécamp,18054,Petite Ville
Maurepas,18046,Petite Ville
Floirac,18013,Petite Ville
Chennevières-sur-Marne,18011,Petite Ville
Moissy-Cramayel,17982,Petite Ville
Lunéville,17858,Petite Ville
Sainte-Rose,17840,Petite Ville
Dzaoudzi,17831,Petite Ville
Châteauneuf-les-Martigues,17809,Petite Ville
Lamentin,17774,Petite Ville
Pontarlier,17738,Petite Ville
Avion,17676,Petite Ville
Lattes,17674,Petite Ville
Carvin,17667,Petite Ville
Segré-en-Anjou Bleu,17660,Petite Ville
Juvisy-sur-Orge,17656,Petite Ville
Brignoles,17652,Petite Ville
Capesterre-Belle-Eau,17628,Petite Ville
Hendaye,17621,Petite Ville
Bry-sur-Marne,17592,Petite Ville
Garches,17557,Petite Ville
Bischheim,17520,Petite Ville
Ducos,17504,Petite Ville
Saint-Maximin-la-Sainte-Baume,17468,Petite Ville
Carrières-sous-Poissy,17417,Petite Ville
Les Clayes-sous-Bois,17378,Petite Ville
Cesson-Sévigné,17316,Petite Ville
Yutz,17304,Petite Ville
Le Pré-Saint-Gervais,17290,Petite Ville
Boissy-Saint-Léger,17286,Petite Ville
Marmande,17265,Petite Ville
Montceau-les-Mines,17239,Petite Ville
Jouy-le-Moutier,17225,Petite Ville
Chamalières,17196,Petite Ville
Sanary-sur-Mer,17173,Petite Ville
Limay,17112,Petite Ville
Osny,17111,Petite Ville
Lons-le-Saunier,17092,Petite Ville
Le Pontet,17018,Petite Ville
Balma,17006,Petite Ville
Sallanches,16986,Petite Ville
Cluses,16976,Petite Ville
Firminy,16953,Petite Ville
Vire Normandie,16935,Petite Ville
Cestas,16932,Petite Ville
Pornic,16886,Petite Ville
Saint-Cyr-sur-Loire,16884,Petite Ville
Verdun,16877,Petite Ville
Digne-les-Bains,16864,Petite Ville
Château-Gontier-sur-Mayenne,16845,Petite Ville
Viroflay,16744,Petite Ville
L'Isle-d'Abeau,16717,Petite Ville
Mauguio,16714,Petite Ville
